cpu_percent,cpu_frequency_mhz,memory_percent,memory_available_mb,disk_percent,disk_read_mbps,disk_write_mbps,network_upload_mbps,network_download_mbps,process_count,label
13.2,1457.0,73.2,4304.56,62.4,0.0,0.08,0.0,0.0,303.0,0
60.13466706849733,2048.2033002984995,63.21146476990469,5152.02847775502,39.5236157940841,-0.5536825547046069,0.06343908183268182,0.3602175741142206,0.056831712008904356,250.46276286597802,2
52.394128955327695,1451.164026686552,67.67150359732449,5292.391013818621,33.3619459395891,-0.04848234440777989,0.046672800999249475,-0.4608401832630197,-0.0756479339525748,301.833887859267,2
6.6,2396.0,63.3,4459.96,16.2,0.0,0.05,0.0,0.0,221.0,0
54.87185042370697,2397.5796899532406,60.26686785053739,5590.126770896675,52.56553417127243,0.4076057860915909,1.2228475974627648,-0.46366855155350956,0.7006702163460632,251.8280455559734,2
7.314317100405898,1928.0197618111147,84.55522773650401,2500.8346444837543,79.03773040817113,1.20548770913088,0.6193559539821981,0.2986816081737222,0.6238422730480193,286.3199738947135,2
10.1,1700.0,71.8,4533.31,62.5,0.0,0.02,0.0,0.0,298.0,0
100.0,1700.0,60.3,6385.86,62.8,0.0,0.0,0.0,0.0,292.0,1
11.3,1200.0,47.6,8288.32,3.8,0.03,478.24,0.0,0.0,295.0,1
15.297967654918251,1699.4264360498405,60.120918050600295,6572.820960892735,63.50453884525543,0.7475699454615552,52.57424073171056,-0.018794775498882914,0.0032463909879869276,285.804200308267,2
8.2,1497.0,74.9,3059.92,16.2,0.01,0.17,0.0,0.01,211.0,0
7.8,1520.0,70.2,4776.68,93.3,0.02,1.35,0.0,0.0,297.0,0
7.0,1200.0,77.0,3636.25,3.8,0.0,1.24,0.0,0.0,313.0,0
9.76526589822374,2047.9064184180268,57.371106838427146,5798.305008798793,39.853268896086576,0.2735644165450005,40.240870716547235,-0.24858928842949224,0.1911029622965676,251.23886265555353,2
10.037024406671959,2048.071831113087,59.46072848437852,5380.464931513956,39.70286820632812,-0.448883553822486,-0.31007178538883806,-0.047597873784787324,-0.7076908877685264,254.0790446054031,2
9.6,1700.0,48.7,8249.4,62.8,0.01,54.53,0.0,0.0,281.0,1
